Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
1.856,0.024,6.839,0.0,22.472,0.0,70.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
1.759,0.009,4.885,0.0,22.472,0.0,70.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
1.661,0.007,2.931,0.0,20.518,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
1.563,0.002,1.954,0.0,18.564,0.0,70.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
1.466,0.006,0.977,0.0,17.587,0.0,70.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
1.368,0.0,809.966,4.051,789.448,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.086,0.0,813.874,5.048,790.425,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.598,0.032,814.851,5.685,791.402,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.793,0.062,815.828,6.139,792.379,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.891,0.078,815.828,6.396,792.379,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.891,0.079,816.805,6.549,792.379,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
8.989,0.076,816.805,6.63,793.356,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.086,0.043,817.782,6.542,793.356,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.086,0.021,817.782,6.418,794.333,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.029,817.782,6.322,793.356,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.048,818.759,6.249,794.333,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.049,818.759,6.227,793.356,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.06,817.782,6.212,794.333,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.088,818.759,6.176,793.356,0.0,69.5,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.105,818.759,6.139,794.333,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.282,0.136,818.759,6.132,795.31,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
9.184,0.14,819.736,6.095,794.333,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.07,1
